0 0 -2.09425

0 1 -1.69704

0 2 -1.26821

0 3 -1.35603

0 4 -0.689971

0 5 -1.08107

0 6 -1.26821

0 7 -1.35603

1 1 -1.96754

1 2 -1.35603

1 3 -1.75113

1 4 -1.08107

1 5 -1.55779

1 6 -1.35603

1 7 -1.75113

2 2 -2.09425

2 3 -1.69704

2 4 -1.26821

2 5 -1.35603

2 6 -0.689971

2 7 -1.08107

3 3 -1.96754

3 4 -1.35603

3 5 -1.75113

3 6 -1.08107

3 7 -1.55779

4 4 -2.09425

4 5 -1.69704

4 6 -1.26821

4 7 -1.35603

5 5 -1.96754

5 6 -1.35603

5 7 -1.75113

6 6 -2.09425

6 7 -1.69704

7 7 -1.96754

